Expense_id,Transaction, Amount ,Category,Sub-Category,Payment_Method,Description
64,2019-09-16,43.31,Food,Grocery,Cash,H-E-B #024 09-15-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
65,2019-09-16,19.37,Food,Grocery,Cash,H-E-B #031 09-13-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
66,2019-09-16,52.20,Bills,Cable Internet,Cash,Payment ATT PAYI  AC H DEBIT
67,2019-09-17,1.29,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 09-16-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
68,2019-09-18,265.16,Vacation,Airfare,Credit Card,SPIRIT AI 2800 EXECUTIVE WAY MIRAMAR 33025-6542FL USA
69,2019-09-18,15.49,Food,Grocery,Cash,H-E-B #024 09-17-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
70,2019-09-18,15.10,Food,Grocery,Cash,H-E-B #045 09-17-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
71,2019-09-18,1.07,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 09-17-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
72,2019-09-19,15.67,Food,Dine out,Credit Card,CHICK-FIL-A #0537 12501 N MOPAC EXP AUSTIN 78727 TX USA
73,2019-09-19,0.99,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
74,2019-09-19,1.99,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 09-18-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
75,2019-09-20,908.17,Shopping,Electronic,Credit Card,APPLE STORE #R216 11410 CENTURY OAKS TERRACE AUSTIN 78758 TX USA
76,2019-09-20,25.93,Automobile,Gas,Cash,SHELL SERVICE STATION 09-19-19 A USTIN TX xxxx DEBIT CARD PURCHASE-PIN
77,2019-09-21,32.48,Food,Dine out,Credit Card,SQ *SQ *BAKERY LORRAIN2900 ESPERANZA CROSSING AUSTIN 78758 TX USA
78,2019-09-22,27.73,Food,Dine out,Credit Card,SALVATION PIZZA 11501 ROCK ROSE AVE STE 146 AUSTIN 78758 TX USA
79,2019-09-22,10.81,Bills,Apple Services,Credit Card,APL* ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
80,2019-09-22,130.10,Food,Grocery,Credit Card,TRADER JOE'S #454 QPS 9722 GREAT HILLS TRL 200 AUSTIN 78759 TX USA
81,2019-09-22,37.50,Automobile,Gas,Cash,EXXONMOBIL 479507612616 WEST BRAKER AUSTIN 78758 TX USA
82,2019-09-23,11.85,Food,Dine out,Cash,CHIPOTLE 0427 09-22 AUSTIN TX 75 44 DEBIT CARD PURCHASE
83,2019-09-23,17.98,Food,Delivery,Cash,SNAP KITCHEN ARBOR 09-21 AUSTIN TX xxxx DEBIT CARD PURCHASE
84,2019-09-23,25.53,Food,Grocery,Cash,FIESTA MART #25 09-21-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
85,2019-09-23,111.67,Food,Grocery,Cash,H-E-B #024 09-22-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
86,2019-09-23,48.38,Food,Grocery,Cash,H-E-B #031 09-21-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
87,2019-09-23,100.00,Bills,Phone,Cash,CRICKET WIRELESS 09-21 855-246-2 461 FL xxxx DEBIT CARD PURCHASE
88,2019-09-24,19.93,Food,Dine out,Credit Card,SQ *SQ *THE KEBAB SHOP9455-9521 GREAT HILLS TRAIL AUSTIN 78759 TX USA
89,2019-09-24,28.99,Healthcare,Medication,Cash,WALGREENS STORE 11724 RES 09-24- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
90,2019-09-24,28.11,Shopping,Personal,Cash,WALGREENS STORE 11724 RES 09-24- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
91,2019-09-24,253.37,Bills,Electricity,Credit Card,PAYMENT City of Austin T 1071 ACH DEBIT
92,2019-09-25,3000.00,Loan,Educational,Credit Card,DATA VISUALIZATION 09-24 HTTPSWW W.TRIL NY xxxx DEBIT CARD PURCHASE
93,2019-09-25,1.95,Food,Snacks,Cash,SQ *BENNU COFFEE 09-24 Austin TX xxxx DEBIT CARD PURCHASE
94,2019-09-26,52.94,Food,Grocery,Cash,GREEN CHEF 09-26 888-236-7295 CO xxxx DEBIT CARD PURCHASE
95,2019-09-27,99.45,Shopping,Shoes,Credit Card,NORDSTROM #0733 3111 PALM WAY AUSTIN 78758 TX USA
96,2019-09-27,57.63,Food,Dine out,Credit Card,JACK & GINGER'S IRIS 11500 ROCK ROSE AVE AUSTIN 78758 TX USA
97,2019-09-27,26.57,Food,Grocery,Cash,H-E-B #031 09-26-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
98,2019-09-27,10.00,Healthcare,Copay,Cash,Shrink 09-26 AUSTIN T X xxxx DEBIT CARD PURCHASE
99,2019-09-28,40.00,Food,Dine out,Credit Card,CYCLONES MEXICAN CANTI3120 PALM WAY STE 170 AUSTIN 78758 TX USA
100,2019-09-28,21.37,Food,Snacks,Credit Card,WALGREENS #4632 1910 W BRAKER LN AUSTIN 78758 TX USA
101,2019-09-30,46.94,Food,Grocery,Cash,CENTRAL MARKET #420 09-28-19 AUS TIN TX xxxx DEBIT CARD PURCHASE-PIN
102,2019-09-30,9.96,Food,Grocery,Cash,CENTRAL MARKET #420 09-28-19 AUS TIN TX xxxx DEBIT CARD PURCHASE-PIN
103,2019-09-30,45.00,Healthcare,Copay,Cash,CARDIOTHORACIC & V 09-27 GEORGET OWN TX xxxx DEBIT CARD PURCHASE
104,2019-09-30,72.90,Shopping,Clothing,Cash,EXPRESS # 0610 09-28-19 CEDAR PA RK TX xxxx DEBIT CARD PURCHASE-PIN
105,2019-10-01,20.46,Food,Dine out,Credit Card,CHIPOTLE 0847 10515 NORTH MOPAC EXPRWY AUSTIN 78759 TX USA
106,2019-10-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA
107,2019-10-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA
108,2019-10-01,3.55,Other,Shipping fees,Credit Card,THE UPS STORE #6414 12407 N MOPAC EXPY AUSTIN 78758 TX USA
109,2019-10-01,1.61,Food,Snacks,Cash,SHELL SERVICE STATION 09-30-19 A USTIN TX xxxx DEBIT CARD PURCHASE-PIN
110,2019-10-01,14.27,Healthcare,Medication,Cash,WALGREENS STORE 11724 RES 09-30- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
111,2019-10-01,7.57,Food,Snacks,Cash,WALGREENS STORE 11724 RES 10-01- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
112,2019-10-02,3.60,Food,Snacks,Credit Card,COFFEE & MORE 100 S MURPHY AVE STE 1 SUNNYVALE 94086 CA USA
113,2019-10-02,22.03,Food,Dine out,Credit Card,P TERRYS BURGER STAND 1551 E HIGHWAY 71 AUSTIN 78742 TX USA
114,2019-10-02,23.00,Food,Dine out,Credit Card,ROBERTOS CANTINA 168 S MURPHY AVE SUNNYVALE 94086 CA USA
115,2019-10-02,16.51,Food,Dine out,Credit Card,AUSTIN AIRPORT-F&B 3600 PRESIDENTIAL BLVD AUSTIN 78719 TX USA
116,2019-10-02,4.13,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 10-01-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
117,2019-10-03,120.67,Food,Dine out,Credit Card,CENTRAL STANDARD 1603 SOUTH COBNGRESS AUSTIN 78704 TX USA
118,2019-10-03,13.91,Food,Dine out,Credit Card,CENTRAL STANDARD 1603 SOUTH COBNGRESS AUSTIN 78704 TX USA
119,2019-10-03,7.63,Automobile,Parking,Cash,LIM*RIDE COST 85 2ND STREETFIRST FLOOR 8885463345 94105 CA USA
120,2019-10-03,27.47,Automobile,Gas,Cash,CHEVRON/EDDIE SLACK DBA 10-02-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
121,2019-10-03,42.05,Food,Grocery,Cash,H-E-B #031 10-02-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
122,2019-10-03,17.31,Bills,TV Subscription,Cash,Netflix.com 10-02 netflix.com CA xxxx DEBIT CARD RECURRING PYMT
123,2019-10-04,3.73,Automobile,Parking,Cash,LIM*RIDE COST 85 2ND STREETFIRST FLOOR 8885463345 94105 CA USA
124,2019-10-04,1290.00,Bills,Rent,Cash,CHECK
125,2019-10-05,53.47,Food,Dine out,Credit Card,LUCILLE 77 RAINEY ST AUSTIN 787010000 TX USA
126,2019-10-05,9.76,Food,Dine out,Credit Card,CHICK-FIL-A #0923 10901 RESEARCH BLVD AUSTIN 78759 TX USA
127,2019-10-05,3.60,Automobile,Parking,Credit Card,COA PARKING METERS 124 W 8TH STREET AUSTIN 78757 TX USA
128,2019-10-05,60.48,Food,Dine out,Cash,URBAN WINE AND LIQUOR 200 CONGRESS AVE UNIT D AUSTIN 78701 TX USA
129,2019-10-06,13.98,Automobile,Alcohol,Credit Card,LYFT *RIDE SUN 3PM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
130,2019-10-06,20.72,Automobile,Lyft,Credit Card,LYFT *RIDE SUN 10AM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
131,2019-10-06,11.49,Automobile,Lyft,Credit Card,LYFT *RIDE SUN 11AM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
132,2019-10-06,27.01,Automobile,Lyft,Credit Card,LYFT *RIDE SAT 10PM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
133,2019-10-06,3.16,Automobile,Lyft,Credit Card,LYFT *RIDE SAT 2AM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
134,2019-10-06,20.91,Automobile,Lyft,Credit Card,LYFT *RIDE SAT 10AM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
135,2019-10-06,26.50,Food,Dine out,Credit Card,UNBARLIEVABLE 76 RAINEY ST AUSTIN 78701 TX USA
136,2019-10-06,28.90,Food,Dine out,Credit Card,THE DOGWOOD - WEST 6TH715 WEST 6TH AUSTIN 78701 TX USA
137,2019-10-06,18.00,Food,Dine out,Credit Card,STEAMPUNK SALOON 700 WEST 6TH ST. AUSTIN 78701 TX USA
138,2019-10-06,33.49,Food,Dine out,Credit Card,STEAMPUNK SALOON 700 WEST 6TH ST. AUSTIN 78701 TX USA
139,2019-10-06,4.90,Automobile,Parking,Cash,LIM*RIDE COST 85 2ND STREETFIRST FLOOR 8885463345 94105 CA USA
140,2019-10-07,30.17,Automobile,Lyft,Credit Card,LYFT *RIDE SUN 10PM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
141,2019-10-07,75.87,Food,Dine out,Credit Card,SWAY DOMAIN 11501 ROCK ROSE AVE STE 100 AUSTIN 78758 TX USA
142,2019-10-07,13.64,Food,Dine out,Credit Card,COVER 3 1717 W 6TH ST STE 210R AUSTIN 787030000 TX USA
143,2019-10-07,117.60,Food,Dine out,Credit Card,PARLOR AND YARD 601 W 6TH ST AUSTIN 78701 TX USA
144,2019-10-07,5.41,Food,Dine out,Credit Card,BROOKLYN PIE CO 601 WEST 6TH STREET AUSTIN 78701 TX USA
145,2019-10-07,4.99,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
146,2019-10-07,39.56,Automobile,Gas,Cash,EXXONMOBIL 479507612616 WEST BRAKER AUSTIN 78758 TX USA
147,2019-10-07,21.57,Food,Dine out,Cash,PHO DAN 10-04 AUSTIN TX xxxx DEB IT CARD PURCHASE
148,2019-10-07,25.64,Food,Grocery,Cash,FIESTA MART #25 10-06-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
149,2019-10-07,132.14,Food,Grocery,Cash,H-E-B #031 10-06-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
150,2019-10-07,20.03,Food,Grocery,Cash,H-E-B #031 10-04-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
151,2019-10-07,35.00,Healthcare,Copay,Cash,CARE NOW - ST DAVI 10-04 AUSTIN TX xxxx DEBIT CARD PURCHASE
152,2019-10-07,34.02,Shopping,Gifts,Cash,WALGREENS STORE 11724 RES 10-04- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
153,2019-10-07,24.31,Shopping,Personal,Cash,WALGREENS STORE 11724 RES 10-04- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
154,2019-10-08,164.69,Food,Grocery,Credit Card,H-E-B #269 10710 RESEARCH BLVD. AUSTIN 78759 TX USA
155,2019-10-08,32.48,Shopping,Clothing,Cash,ETSY.COM 10-08 800-595-3865 NY 7 544 DEBIT CARD PURCHASE
156,2019-10-09,11.36,Food,Dine out,Credit Card,SQ *SQ *AFIA FOODS TRU4618 BURNET ROAD AUSTIN 78756 TX USA
157,2019-10-09,113.05,Automobile,Maintenance,Cash,TUFFY TIRE & AUTO- 10-07 AUSTIN TX xxxx DEBIT CARD PURCHASE
158,2019-10-09,3.98,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 10-08-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
159,2019-10-10,9.66,Food,Dine out,Credit Card,FROST A GELATO SHOPPE 11700 ROCK ROSE AVE 176 AUSTIN 78758 TX USA
160,2019-10-11,41.83,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
161,2019-10-11,52.09,Food,Grocery,Cash,H-E-B #031 10-10-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
162,2019-10-11,10.00,Healthcare,Copay,Cash,Shrink 10-10 AUSTIN T X xxxx DEBIT CARD PURCHASE
163,2019-10-13,22.25,Food,Dine out,Credit Card,CHIPOTLE 0043 3300 BEE CAVES RD #670 AUSTIN 78746 TX USA
164,2019-10-15,150.00,Food,Dine out,Credit Card,"PAUL MARTINS AUS 3120 PALM WAY, #130 AUSTIN 78758 TX USA"
165,2019-10-15,13.97,Shopping,Hobby,Credit Card,PAPER SOURCE -THE DOMA3200 PALM WAY AUSTIN 78758 TX USA
166,2019-10-15,10.81,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
167,2019-10-15,31.77,Food,Grocery,Credit Card,TARGET 0002409110107 RESEARCH BLVD AUSTIN 78759 TX USA
168,2019-10-15,35.00,Food,Dine out,Cash,THE CUBAN CORNER 10-12 JARRELL T X xxxx DEBIT CARD PURCHASE
169,2019-10-15,24.64,Food,Grocery,Cash,FIESTA MART #25 10-12-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
170,2019-10-15,152.20,Food,Grocery,Cash,H-E-B #024 10-13-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
171,2019-10-15,23.88,Food,Grocery,Cash,H-E-B GAS #024 10-13-19 AUSTIN T X xxxx DEBIT CARD PURCHASE-PIN
172,2019-10-15,19.68,Food,Grocery,Cash,H-E-B #031 10-13-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
173,2019-10-15,55.00,Healthcare,Copay,Cash,MY EYE SITE 10-12 AUSTIN TX xxxx DEBIT CARD PURCHASE
174,2019-10-15,55.96,Healthcare,Medication,Cash,WALGREENS STORE 11724 RES 10-12- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
175,2019-10-15,18.82,Shopping,Toys,Cash,WAL-MART #1129 10-12-19 AUSTIN T X xxxx DEBIT CARD PURCHASE-PIN
176,2019-10-16,4.50,Food,Snacks,Credit Card,"APPLE CAFFE APLCM 5505 W PARMER LN, BLDG 5 AUSTIN 78727 TX USA"
177,2019-10-16,52.20,Bills,Cable Internet,Cash,Payment ATT PAYN  AC H DEBIT
178,2019-10-17,18.00,Food,Dine out,Credit Card,BLACK STAR CO-OP PUB A7020 EASY WIND DR AUSTIN 78752 TX USA
179,2019-10-17,27.02,Food,Dine out,Credit Card,"ZOES KITCHEN 10000 RESEARCH BLVD, STE 101 AUSTIN 78759 TX USA"
180,2019-10-17,7.36,Food,Grocery,Cash,H-E-B #031 10-16-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
181,2019-10-18,47.09,Shopping,Clothing,Credit Card,LILYRAIN-#017 DOMAIN 8201 KEMPWOOD DR AUSTIN 78758 TX USA
182,2019-10-18,27.58,Food,Dine out,Credit Card,AUSTIN AIRPORT-F&B 3600 PRESIDENTIAL BLVD AUSTIN 78719 TX USA
183,2019-10-18,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
184,2019-10-18,10.33,Food,Grocery,Cash,H-E-B #031 10-17-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
185,2019-10-19,17.48,Food,Take out,Credit Card,WICKED VAPORZ 33 W KING ST SHIPPENSBURG 17257 PA USA
186,2019-10-19,0.99,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
187,2019-10-20,7.17,Food,Snacks,Cash,SHEETZ 00000703359 E KING ST SHIPPENSBURG 17257 PA USA
188,2019-10-20,14.19,Food,Snacks,Cash,SHEETZ 00000703359 E KING ST SHIPPENSBURG 17257 PA USA
189,2019-10-21,31.87,Automobile,Lyft,Credit Card,LYFT *RIDE MON 9PM 548 MARKET ST. STE 68514 8552800278 94104 CA USA
190,2019-10-21,45.38,Food,Dine out,Credit Card,THE GREENE TURTLE - BW1000 FRIENDSHIP ST GLEN BURNIE 21060 MD USA
191,2019-10-21,4.22,Shopping,Personal,Credit Card,HUDSONNEWS ST117 BWI TERMINAL D BALTIMORE 21240 MD USA
192,2019-10-21,4.99,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
193,2019-10-21,10.81,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
194,2019-10-21,3.00,Bank Charges,ATM Fee,Cash,10-18-19 AUSTIN TX xxxx NEW YORK STYLE BARBERSHOP DEBIT CARD NON-BBT ATM FEE
195,2019-10-21,43.00,Food,Dine out,Cash,NEW YORK STYLE BARBERSHOP 10-18- 19 AUSTIN TX xxxx ATM NETWORK CASH WITHDRAWAL
196,2019-10-21,28.00,Food,Dine out,Cash,THE CUBAN CORNER 10-19 JARRELL T X xxxx DEBIT CARD PURCHASE
197,2019-10-21,54.64,Food,Grocery,Cash,H-E-B #031 10-19-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
